strain,sex,id,replicate,drug,dose,dosecode,cells,viability
129S1/SvImJ,m,BEZ_1,1,BEZ235,0,ctrl,"B cells",97.72
129S1/SvImJ,m,BEZ_10,2,BEZ235,0.046,A,"B cells",116.23
129S1/SvImJ,m,BEZ_101,1,BEZ235,1.235,C,"T cells",102.21
129S1/SvImJ,m,BEZ_102,2,BEZ235,1.235,C,"T cells",106.74
129S1/SvImJ,m,BEZ_103,3,BEZ235,1.235,C,"T cells",110.50
129S1/SvImJ,m,BEZ_104,4,BEZ235,1.235,C,"T cells",106.74
129S1/SvImJ,m,BEZ_109,1,BEZ235,11.111,D,"T cells",99.89
129S1/SvImJ,m,BEZ_11,3,BEZ235,0.046,A,"B cells",118.21
129S1/SvImJ,m,BEZ_110,2,BEZ235,11.111,D,"T cells",106.41
129S1/SvImJ,m,BEZ_111,3,BEZ235,11.111,D,"T cells",108.40
129S1/SvImJ,m,BEZ_112,4,BEZ235,11.111,D,"T cells",104.53
129S1/SvImJ,m,BEZ_117,1,BEZ235,100,E,"T cells",101.22
129S1/SvImJ,m,BEZ_118,2,BEZ235,100,E,"T cells",100.22
129S1/SvImJ,m,BEZ_119,3,BEZ235,100,E,"T cells",98.78
129S1/SvImJ,m,BEZ_12,4,BEZ235,0.046,A,"B cells",124.03
129S1/SvImJ,m,BEZ_120,4,BEZ235,100,E,"T cells",99.23
129S1/SvImJ,m,BEZ_13,1,BEZ235,0.137,B,"B cells",98.38
129S1/SvImJ,m,BEZ_14,2,BEZ235,0.137,B,"B cells",112.13
129S1/SvImJ,m,BEZ_15,3,BEZ235,0.137,B,"B cells",129.19
129S1/SvImJ,m,BEZ_16,4,BEZ235,0.137,B,"B cells",111.87
129S1/SvImJ,m,BEZ_2,2,BEZ235,0,ctrl,"B cells",96.93
129S1/SvImJ,m,BEZ_21,1,BEZ235,1.235,C,"B cells",109.36
129S1/SvImJ,m,BEZ_22,2,BEZ235,1.235,C,"B cells",109.49
129S1/SvImJ,m,BEZ_23,3,BEZ235,1.235,C,"B cells",126.68
129S1/SvImJ,m,BEZ_24,4,BEZ235,1.235,C,"B cells",124.56
129S1/SvImJ,m,BEZ_29,1,BEZ235,11.111,D,"B cells",99.44
129S1/SvImJ,m,BEZ_3,3,BEZ235,0,ctrl,"B cells",103.54
129S1/SvImJ,m,BEZ_30,2,BEZ235,11.111,D,"B cells",106.71
129S1/SvImJ,m,BEZ_31,3,BEZ235,11.111,D,"B cells",124.69
129S1/SvImJ,m,BEZ_32,4,BEZ235,11.111,D,"B cells",119.80
129S1/SvImJ,m,BEZ_37,1,BEZ235,100,E,"B cells",88.86
129S1/SvImJ,m,BEZ_38,2,BEZ235,100,E,"B cells",86.61
129S1/SvImJ,m,BEZ_39,3,BEZ235,100,E,"B cells",87.67
129S1/SvImJ,m,BEZ_4,4,BEZ235,0,ctrl,"B cells",101.82
129S1/SvImJ,m,BEZ_40,4,BEZ235,100,E,"B cells",107.90
129S1/SvImJ,m,BEZ_41,1,BEZ235,0,ctrl,monocytes,82.64
129S1/SvImJ,m,BEZ_42,2,BEZ235,0,ctrl,monocytes,117.97
129S1/SvImJ,m,BEZ_43,3,BEZ235,0,ctrl,monocytes,101.90
129S1/SvImJ,m,BEZ_44,4,BEZ235,0,ctrl,monocytes,97.50
129S1/SvImJ,m,BEZ_49,1,BEZ235,0.046,A,monocytes,128.58
129S1/SvImJ,m,BEZ_50,2,BEZ235,0.046,A,monocytes,151.63
129S1/SvImJ,m,BEZ_51,3,BEZ235,0.046,A,monocytes,139.04
129S1/SvImJ,m,BEZ_52,4,BEZ235,0.046,A,monocytes,142.53
129S1/SvImJ,m,BEZ_53,1,BEZ235,0.137,B,monocytes,145.11
129S1/SvImJ,m,BEZ_54,2,BEZ235,0.137,B,monocytes,151.63
129S1/SvImJ,m,BEZ_55,3,BEZ235,0.137,B,monocytes,151.63
129S1/SvImJ,m,BEZ_56,4,BEZ235,0.137,B,monocytes,147.54
129S1/SvImJ,m,BEZ_61,1,BEZ235,1.235,C,monocytes,116.60
129S1/SvImJ,m,BEZ_62,2,BEZ235,1.235,C,monocytes,139.04
129S1/SvImJ,m,BEZ_63,3,BEZ235,1.235,C,monocytes,0.00
129S1/SvImJ,m,BEZ_64,4,BEZ235,1.235,C,monocytes,147.69
129S1/SvImJ,m,BEZ_69,1,BEZ235,11.111,D,monocytes,101.90
129S1/SvImJ,m,BEZ_70,2,BEZ235,11.111,D,monocytes,137.53
129S1/SvImJ,m,BEZ_71,3,BEZ235,11.111,D,monocytes,151.63
129S1/SvImJ,m,BEZ_72,4,BEZ235,11.111,D,monocytes,149.96
129S1/SvImJ,m,BEZ_77,1,BEZ235,100,E,monocytes,121.30
129S1/SvImJ,m,BEZ_78,2,BEZ235,100,E,monocytes,83.09
129S1/SvImJ,m,BEZ_79,3,BEZ235,100,E,monocytes,125.85
129S1/SvImJ,m,BEZ_80,4,BEZ235,100,E,monocytes,117.51
129S1/SvImJ,m,BEZ_81,1,BEZ235,0,ctrl,"T cells",101.55
129S1/SvImJ,m,BEZ_82,2,BEZ235,0,ctrl,"T cells",100.44
129S1/SvImJ,m,BEZ_83,3,BEZ235,0,ctrl,"T cells",98.45
129S1/SvImJ,m,BEZ_84,4,BEZ235,0,ctrl,"T cells",99.56
129S1/SvImJ,m,BEZ_89,1,BEZ235,0.046,A,"T cells",103.65
129S1/SvImJ,m,BEZ_9,1,BEZ235,0.046,A,"B cells",102.48
129S1/SvImJ,m,BEZ_90,2,BEZ235,0.046,A,"T cells",106.85
129S1/SvImJ,m,BEZ_91,3,BEZ235,0.046,A,"T cells",108.40
129S1/SvImJ,m,BEZ_92,4,BEZ235,0.046,A,"T cells",109.17
129S1/SvImJ,m,BEZ_93,1,BEZ235,0.137,B,"T cells",104.86
129S1/SvImJ,m,BEZ_94,2,BEZ235,0.137,B,"T cells",104.64
129S1/SvImJ,m,BEZ_95,3,BEZ235,0.137,B,"T cells",109.72
129S1/SvImJ,m,BEZ_96,4,BEZ235,0.137,B,"T cells",97.79
129S1/SvImJ,m,DOX_1,1,doxorubicin,0,ctrl,"B cells",100.54
129S1/SvImJ,m,DOX_10,2,doxorubicin,0.046,A,"B cells",96.23
129S1/SvImJ,m,DOX_101,1,doxorubicin,1.235,C,"T cells",100.32
129S1/SvImJ,m,DOX_102,2,doxorubicin,1.235,C,"T cells",106.14
129S1/SvImJ,m,DOX_103,3,doxorubicin,1.235,C,"T cells",104.12
129S1/SvImJ,m,DOX_104,4,doxorubicin,1.235,C,"T cells",110.70
129S1/SvImJ,m,DOX_109,1,doxorubicin,11.111,D,"T cells",106.65
129S1/SvImJ,m,DOX_11,3,doxorubicin,0.046,A,"B cells",60.93
129S1/SvImJ,m,DOX_110,2,doxorubicin,11.111,D,"T cells",111.46
129S1/SvImJ,m,DOX_111,3,doxorubicin,11.111,D,"T cells",106.78
129S1/SvImJ,m,DOX_112,4,doxorubicin,11.111,D,"T cells",112.60
129S1/SvImJ,m,DOX_117,1,doxorubicin,100,E,"T cells",77.52
129S1/SvImJ,m,DOX_118,2,doxorubicin,100,E,"T cells",70.68
129S1/SvImJ,m,DOX_119,3,doxorubicin,100,E,"T cells",37.75
129S1/SvImJ,m,DOX_12,4,doxorubicin,0.046,A,"B cells",152.85
129S1/SvImJ,m,DOX_120,4,doxorubicin,100,E,"T cells",84.48
129S1/SvImJ,m,DOX_13,1,doxorubicin,0.137,B,"B cells",129.60
129S1/SvImJ,m,DOX_14,2,doxorubicin,0.137,B,"B cells",57.70
129S1/SvImJ,m,DOX_15,3,doxorubicin,0.137,B,"B cells",58.34
129S1/SvImJ,m,DOX_16,4,doxorubicin,0.137,B,"B cells",114.75
129S1/SvImJ,m,DOX_2,2,doxorubicin,0,ctrl,"B cells",57.70
129S1/SvImJ,m,DOX_21,1,doxorubicin,1.235,C,"B cells",102.48
129S1/SvImJ,m,DOX_22,2,doxorubicin,1.235,C,"B cells",49.95
129S1/SvImJ,m,DOX_23,3,doxorubicin,1.235,C,"B cells",50.59
129S1/SvImJ,m,DOX_24,4,doxorubicin,1.235,C,"B cells",85.47
129S1/SvImJ,m,DOX_29,1,doxorubicin,11.111,D,"B cells",82.45
129S1/SvImJ,m,DOX_3,3,doxorubicin,0,ctrl,"B cells",96.66
129S1/SvImJ,m,DOX_30,2,doxorubicin,11.111,D,"B cells",45.21
129S1/SvImJ,m,DOX_31,3,doxorubicin,11.111,D,"B cells",110.44
129S1/SvImJ,m,DOX_32,4,doxorubicin,11.111,D,"B cells",100.32
129S1/SvImJ,m,DOX_37,1,doxorubicin,100,E,"B cells",37.03
129S1/SvImJ,m,DOX_38,2,doxorubicin,100,E,"B cells",24.97
129S1/SvImJ,m,DOX_39,3,doxorubicin,100,E,"B cells",28.63
129S1/SvImJ,m,DOX_4,4,doxorubicin,0,ctrl,"B cells",145.10
129S1/SvImJ,m,DOX_40,4,doxorubicin,100,E,"B cells",26.48
129S1/SvImJ,m,DOX_41,1,doxorubicin,0,ctrl,monocytes,71.76
129S1/SvImJ,m,DOX_42,2,doxorubicin,0,ctrl,monocytes,107.76
129S1/SvImJ,m,DOX_43,3,doxorubicin,0,ctrl,monocytes,105.18
129S1/SvImJ,m,DOX_44,4,doxorubicin,0,ctrl,monocytes,115.29
129S1/SvImJ,m,DOX_49,1,doxorubicin,0.046,A,monocytes,82.12
129S1/SvImJ,m,DOX_50,2,doxorubicin,0.046,A,monocytes,85.18
129S1/SvImJ,m,DOX_51,3,doxorubicin,0.046,A,monocytes,162.82
129S1/SvImJ,m,DOX_52,4,doxorubicin,0.046,A,monocytes,61.65
